holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,dayoff,sandwich,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,spring,summer,fall,winter,event
0,0,1,0,0,0,0,0,0,0.672093023255814,0.02569882777276826,0.5945205479452055,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.6953488372093023,0.0,0.5219178082191781,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.7279069767441859,0.0,0.4164383561643835,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.7604651162790698,0.0,0.28219178082191787,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.772093023255814,0.0,0.3904109589041096,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.7488372093023256,0.0027051397655545534,0.747945205479452,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.7348837209302326,0.1564472497745717,0.9232876712328766,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.7395348837209301,0.12623985572587917,0.8890410958904109,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.7674418604651163,0.0,0.6657534246575343,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.7837209302325582,0.0,0.4,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.786046511627907,0.0,0.5410958904109588,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
0,0,0,0,0,0,1,0,0,0.7744186046511627,0.0,0.5945205479452055,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
1,1,0,0,0,0,0,1,0,0.7744186046511627,0.0,0.3726027397260274,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
1,1,0,0,0,0,0,0,1,0.7906976744186046,0.0,0.352054794520548,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
