content,sdate,edate,place
안녕하세요 생명존중 캠페인,2025-10-31,2025-10-31,101
문예마을 시화전 ,2025-11-01,2025-11-15,104
2025년 불조심 강조의 달 사진 전시회,2025-11-03,2025-11-07,116
소비자에게 찾아가는 주제별 정보전시회,2025-11-08,2025-11-14,116
시민과 함께하는 한밭대금,2025-11-08,2025-11-08,111
이동노동사진 공모전 수상작 전시,2025-11-10,2025-11-14,111
겨울철 소방안전문화 홍보행사,2025-11-12,2025-11-19,105
시민들이 느끼는 이사동,2025-11-13,2025-11-15,106
2025 대전문학관 시확산 시민운동 순회전시,2025-11-14,2025-11-24,112
안녕. 인생이 고단할땐 고양이와 댕댕이 사진이지,2025-11-15,2025-11-23,116
대전 문예마을 가을 시화전,2025-11-15,2025-11-28,111
불조심 강조 관련 화재예방 캠페인,2025-11-19,2025-11-28,113
시민과 함께하는 한밭대금,2025-11-22,2025-11-22,111
25년도 연말연시 크리스마스 트리 설치,2025-11-22,2026-01-10,111
크리스마스트리,2025-11-22,2026-01-10,101
25년도 연말연시 크리스마스 트리 설치,2025-11-22,2026-01-10,112
리플렛 배치,2025-11-24,2025-12-31,111
제 3회 포특사 작품전,2025-11-24,2025-11-28,104
안녕하세요 11월 생명 존중 캠페인,2025-11-28,2025-11-28,101
새빛 사진전시회,2025-12-01,2025-12-12,104
새빛 사진전시회,2025-12-01,2025-12-12,106
성탄절 크리스마스 트리 설치,2025-12-02,2026-01-11,114
성탄트리장식,2025-12-02,2026-01-06,118
성탄트리장식,2025-12-02,2026-01-06,117
크리스마스 트리장식 설치,2025-12-07,2026-01-04,120
대전대 웹툰애니메이션 학과 졸업전시회,2025-12-10,2025-12-20,104
아동학대 예방 캠페인,2025-12-10,2025-12-10,111
2025 대전관광사진 전국공모전,2025-12-10,2025-12-24,111
대전대 웹툰애니메이션 학과 졸업작품 전시회,2025-12-11,2025-12-22,104
구세군 자선냄비,2025-12-11,2025-12-24,111
시민과 함께하는 한밭대금,2025-12-13,2025-12-13,111
치매인식개선 캠페인,2025-12-19,2025-12-19,116
시민과 함께하는 한밭대금,2025-12-20,2025-12-20,111
모두의보스 연말공연,2025-12-20,2025-12-20,111
색소폰연주,2025-12-22,2025-12-22,107
캠페인,2025-12-22,2025-12-22,103
2025 대전관광사진 전국공모전,2025-12-24,2026-01-07,116
인권공모전 작품 전시,2025-12-26,2025-12-28,111
인권공모전 작품 전시,2025-12-26,2025-12-28,111
인권공모전 작품 전시,2025-12-29,2025-12-30,111
2025 대전관광사진 전국공모전,2026-01-07,2026-01-21,107
시민과 함께하는 한밭대금,2026-01-10,2026-01-10,111
안전문화운동 추진 캠페인,2026-01-28,2026-01-28,116
시민과 함께하는 한밭대금,2026-02-07,2026-02-07,111
소비자피해예방 홍보 활동,2026-03-04,2026-11-25,116
(쌀 소비촉진) 백설기데이 홍보캠페인,2026-03-13,2026-03-13,104
